Fra;Til;KWH 60 Forbruk
01.06.2019 00:00;01.06.2019 01:00;1.993
01.06.2019 01:00;01.06.2019 02:00;2.098
01.06.2019 02:00;01.06.2019 03:00;3.274
01.06.2019 03:00;01.06.2019 04:00;2.155
01.06.2019 04:00;01.06.2019 05:00;2.077
01.06.2019 05:00;01.06.2019 06:00;2.226
01.06.2019 06:00;01.06.2019 07:00;2.422
01.06.2019 07:00;01.06.2019 08:00;2.413
01.06.2019 08:00;01.06.2019 09:00;1.759
01.06.2019 09:00;01.06.2019 10:00;2.364
01.06.2019 10:00;01.06.2019 11:00;2.592
01.06.2019 11:00;01.06.2019 12:00;1.991
01.06.2019 12:00;01.06.2019 13:00;2.091
01.06.2019 13:00;01.06.2019 14:00;2.158
01.06.2019 14:00;01.06.2019 15:00;2.553
01.06.2019 15:00;01.06.2019 16:00;2.552
01.06.2019 16:00;01.06.2019 17:00;1.813
01.06.2019 17:00;01.06.2019 18:00;2.493
01.06.2019 18:00;01.06.2019 19:00;2.546
01.06.2019 19:00;01.06.2019 20:00;2.912
01.06.2019 20:00;01.06.2019 21:00;6.202
01.06.2019 21:00;01.06.2019 22:00;6.058
01.06.2019 22:00;01.06.2019 23:00;6.24
01.06.2019 23:00;02.06.2019 00:00;5.742
02.06.2019 00:00;02.06.2019 01:00;5.252
02.06.2019 01:00;02.06.2019 02:00;4.53
02.06.2019 02:00;02.06.2019 03:00;1.397
02.06.2019 03:00;02.06.2019 04:00;1.503
02.06.2019 04:00;02.06.2019 05:00;1.683
02.06.2019 05:00;02.06.2019 06:00;1.479
02.06.2019 06:00;02.06.2019 07:00;1.595
02.06.2019 07:00;02.06.2019 08:00;1.779
02.06.2019 08:00;02.06.2019 09:00;2.754
02.06.2019 09:00;02.06.2019 10:00;2.402
02.06.2019 10:00;02.06.2019 11:00;2.474
02.06.2019 11:00;02.06.2019 12:00;4.329
02.06.2019 12:00;02.06.2019 13:00;3.036
02.06.2019 13:00;02.06.2019 14:00;1.943
02.06.2019 14:00;02.06.2019 15:00;1.258
02.06.2019 15:00;02.06.2019 16:00;1.288
02.06.2019 16:00;02.06.2019 17:00;2.183
02.06.2019 17:00;02.06.2019 18:00;3.759
02.06.2019 18:00;02.06.2019 19:00;2.477
02.06.2019 19:00;02.06.2019 20:00;1.986
02.06.2019 20:00;02.06.2019 21:00;1.507
02.06.2019 21:00;02.06.2019 22:00;1.543
02.06.2019 22:00;02.06.2019 23:00;1.534
02.06.2019 23:00;03.06.2019 00:00;1.683
03.06.2019 00:00;03.06.2019 01:00;1.592
03.06.2019 01:00;03.06.2019 02:00;0.903
03.06.2019 02:00;03.06.2019 03:00;1.043
03.06.2019 03:00;03.06.2019 04:00;0.973
03.06.2019 04:00;03.06.2019 05:00;1.107
03.06.2019 05:00;03.06.2019 06:00;1.136
03.06.2019 06:00;03.06.2019 07:00;2.435
03.06.2019 07:00;03.06.2019 08:00;2.228
03.06.2019 08:00;03.06.2019 09:00;2.224
03.06.2019 09:00;03.06.2019 10:00;2.023
03.06.2019 10:00;03.06.2019 11:00;2.181
03.06.2019 11:00;03.06.2019 12:00;2.16
03.06.2019 12:00;03.06.2019 13:00;2.078
03.06.2019 13:00;03.06.2019 14:00;2.459
03.06.2019 14:00;03.06.2019 15:00;1.422
03.06.2019 15:00;03.06.2019 16:00;1.486
03.06.2019 16:00;03.06.2019 17:00;1.365
03.06.2019 17:00;03.06.2019 18:00;2.92
03.06.2019 18:00;03.06.2019 19:00;2.203
03.06.2019 19:00;03.06.2019 20:00;1.743
03.06.2019 20:00;03.06.2019 21:00;0.938
03.06.2019 21:00;03.06.2019 22:00;1.916
03.06.2019 22:00;03.06.2019 23:00;1.338
03.06.2019 23:00;04.06.2019 00:00;1.2
04.06.2019 00:00;04.06.2019 01:00;0.965
04.06.2019 01:00;04.06.2019 02:00;0.908
04.06.2019 02:00;04.06.2019 03:00;0.878
04.06.2019 03:00;04.06.2019 04:00;1.695
04.06.2019 04:00;04.06.2019 05:00;1.543
04.06.2019 05:00;04.06.2019 06:00;0.95
04.06.2019 06:00;04.06.2019 07:00;2.038
04.06.2019 07:00;04.06.2019 08:00;2.002
04.06.2019 08:00;04.06.2019 09:00;2.143
04.06.2019 09:00;04.06.2019 10:00;2.032
04.06.2019 10:00;04.06.2019 11:00;1.968
04.06.2019 11:00;04.06.2019 12:00;1.695
04.06.2019 12:00;04.06.2019 13:00;1.216
04.06.2019 13:00;04.06.2019 14:00;1.217
04.06.2019 14:00;04.06.2019 15:00;1.642
04.06.2019 15:00;04.06.2019 16:00;1.667
04.06.2019 16:00;04.06.2019 17:00;1.205
04.06.2019 17:00;04.06.2019 18:00;3.255
04.06.2019 18:00;04.06.2019 19:00;3.208
04.06.2019 19:00;04.06.2019 20:00;2.939
04.06.2019 20:00;04.06.2019 21:00;1.734
04.06.2019 21:00;04.06.2019 22:00;1.805
04.06.2019 22:00;04.06.2019 23:00;2.563
04.06.2019 23:00;05.06.2019 00:00;1.853
05.06.2019 00:00;05.06.2019 01:00;1.303
05.06.2019 01:00;05.06.2019 02:00;0.992
05.06.2019 02:00;05.06.2019 03:00;0.971
05.06.2019 03:00;05.06.2019 04:00;1.162
05.06.2019 04:00;05.06.2019 05:00;1.09
05.06.2019 05:00;05.06.2019 06:00;1.053
05.06.2019 06:00;05.06.2019 07:00;2.224
05.06.2019 07:00;05.06.2019 08:00;2.168
05.06.2019 08:00;05.06.2019 09:00;2.224
05.06.2019 09:00;05.06.2019 10:00;2.162
05.06.2019 10:00;05.06.2019 11:00;2.14
05.06.2019 11:00;05.06.2019 12:00;2.164
05.06.2019 12:00;05.06.2019 13:00;1.421
05.06.2019 13:00;05.06.2019 14:00;1.318
05.06.2019 14:00;05.06.2019 15:00;1.269
05.06.2019 15:00;05.06.2019 16:00;1.354
05.06.2019 16:00;05.06.2019 17:00;2.16
05.06.2019 17:00;05.06.2019 18:00;3.516
05.06.2019 18:00;05.06.2019 19:00;2.298
05.06.2019 19:00;05.06.2019 20:00;2.34
05.06.2019 20:00;05.06.2019 21:00;2.642
05.06.2019 21:00;05.06.2019 22:00;3.646
05.06.2019 22:00;05.06.2019 23:00;3.366
05.06.2019 23:00;06.06.2019 00:00;1.421
06.06.2019 00:00;06.06.2019 01:00;0.969
06.06.2019 01:00;06.06.2019 02:00;0.788
06.06.2019 02:00;06.06.2019 03:00;1.02
06.06.2019 03:00;06.06.2019 04:00;0.843
06.06.2019 04:00;06.06.2019 05:00;0.957
06.06.2019 05:00;06.06.2019 06:00;0.964
06.06.2019 06:00;06.06.2019 07:00;1.9
06.06.2019 07:00;06.06.2019 08:00;2.101
06.06.2019 08:00;06.06.2019 09:00;1.849
06.06.2019 09:00;06.06.2019 10:00;2.052
06.06.2019 10:00;06.06.2019 11:00;2.087
06.06.2019 11:00;06.06.2019 12:00;1.904
06.06.2019 12:00;06.06.2019 13:00;1.998
06.06.2019 13:00;06.06.2019 14:00;1.461
06.06.2019 14:00;06.06.2019 15:00;1.78
06.06.2019 15:00;06.06.2019 16:00;2.974
06.06.2019 16:00;06.06.2019 17:00;2.785
06.06.2019 17:00;06.06.2019 18:00;2.216
06.06.2019 18:00;06.06.2019 19:00;1.562
06.06.2019 19:00;06.06.2019 20:00;0.833
06.06.2019 20:00;06.06.2019 21:00;1.067
06.06.2019 21:00;06.06.2019 22:00;0.77
06.06.2019 22:00;06.06.2019 23:00;1.325
06.06.2019 23:00;07.06.2019 00:00;4.672
07.06.2019 00:00;07.06.2019 01:00;5.171
07.06.2019 01:00;07.06.2019 02:00;5.359
07.06.2019 02:00;07.06.2019 03:00;2.147
07.06.2019 03:00;07.06.2019 04:00;0.904
07.06.2019 04:00;07.06.2019 05:00;1.068
07.06.2019 05:00;07.06.2019 06:00;1.716
07.06.2019 06:00;07.06.2019 07:00;1.989
07.06.2019 07:00;07.06.2019 08:00;1.938
07.06.2019 08:00;07.06.2019 09:00;1.523
07.06.2019 09:00;07.06.2019 10:00;1.541
07.06.2019 10:00;07.06.2019 11:00;1.014
07.06.2019 11:00;07.06.2019 12:00;0.563
07.06.2019 12:00;07.06.2019 13:00;0.686
07.06.2019 13:00;07.06.2019 14:00;0.655
07.06.2019 14:00;07.06.2019 15:00;0.364
07.06.2019 15:00;07.06.2019 16:00;0.742
07.06.2019 16:00;07.06.2019 17:00;0.503
07.06.2019 17:00;07.06.2019 18:00;0.671
07.06.2019 18:00;07.06.2019 19:00;0.527
07.06.2019 19:00;07.06.2019 20:00;0.644
07.06.2019 20:00;07.06.2019 21:00;1.405
07.06.2019 21:00;07.06.2019 22:00;1.19
07.06.2019 22:00;07.06.2019 23:00;0.584
07.06.2019 23:00;08.06.2019 00:00;0.677
08.06.2019 00:00;08.06.2019 01:00;0.683
08.06.2019 01:00;08.06.2019 02:00;0.567
08.06.2019 02:00;08.06.2019 03:00;0.564
08.06.2019 03:00;08.06.2019 04:00;0.758
08.06.2019 04:00;08.06.2019 05:00;0.54
08.06.2019 05:00;08.06.2019 06:00;0.825
08.06.2019 06:00;08.06.2019 07:00;0.718
08.06.2019 07:00;08.06.2019 08:00;0.502
08.06.2019 08:00;08.06.2019 09:00;0.654
08.06.2019 09:00;08.06.2019 10:00;0.587
08.06.2019 10:00;08.06.2019 11:00;1.341
08.06.2019 11:00;08.06.2019 12:00;1.611
08.06.2019 12:00;08.06.2019 13:00;0.781
08.06.2019 13:00;08.06.2019 14:00;0.666
08.06.2019 14:00;08.06.2019 15:00;0.696
08.06.2019 15:00;08.06.2019 16:00;0.584
08.06.2019 16:00;08.06.2019 17:00;0.656
08.06.2019 17:00;08.06.2019 18:00;0.434
08.06.2019 18:00;08.06.2019 19:00;0.803
08.06.2019 19:00;08.06.2019 20:00;0.835
08.06.2019 20:00;08.06.2019 21:00;0.455
08.06.2019 21:00;08.06.2019 22:00;0.551
08.06.2019 22:00;08.06.2019 23:00;0.481
08.06.2019 23:00;09.06.2019 00:00;0.794
09.06.2019 00:00;09.06.2019 01:00;0.862
09.06.2019 01:00;09.06.2019 02:00;0.604
09.06.2019 02:00;09.06.2019 03:00;1.541
09.06.2019 03:00;09.06.2019 04:00;1.705
09.06.2019 04:00;09.06.2019 05:00;0.898
09.06.2019 05:00;09.06.2019 06:00;0.894
09.06.2019 06:00;09.06.2019 07:00;0.824
09.06.2019 07:00;09.06.2019 08:00;1.002
09.06.2019 08:00;09.06.2019 09:00;0.9
09.06.2019 09:00;09.06.2019 10:00;0.64
09.06.2019 10:00;09.06.2019 11:00;0.85
09.06.2019 11:00;09.06.2019 12:00;0.834
09.06.2019 12:00;09.06.2019 13:00;0.887
09.06.2019 13:00;09.06.2019 14:00;0.832
09.06.2019 14:00;09.06.2019 15:00;0.997
09.06.2019 15:00;09.06.2019 16:00;0.648
09.06.2019 16:00;09.06.2019 17:00;0.88
09.06.2019 17:00;09.06.2019 18:00;0.467
09.06.2019 18:00;09.06.2019 19:00;1.361
09.06.2019 19:00;09.06.2019 20:00;1.599
09.06.2019 20:00;09.06.2019 21:00;1.322
09.06.2019 21:00;09.06.2019 22:00;0.464
09.06.2019 22:00;09.06.2019 23:00;0.723
09.06.2019 23:00;10.06.2019 00:00;0.653
10.06.2019 00:00;10.06.2019 01:00;0.732
10.06.2019 01:00;10.06.2019 02:00;0.67
10.06.2019 02:00;10.06.2019 03:00;0.904
10.06.2019 03:00;10.06.2019 04:00;1.006
10.06.2019 04:00;10.06.2019 05:00;0.861
10.06.2019 05:00;10.06.2019 06:00;0.817
10.06.2019 06:00;10.06.2019 07:00;0.718
10.06.2019 07:00;10.06.2019 08:00;0.771
10.06.2019 08:00;10.06.2019 09:00;0.985
10.06.2019 09:00;10.06.2019 10:00;0.855
10.06.2019 10:00;10.06.2019 11:00;1.328
10.06.2019 11:00;10.06.2019 12:00;1.528
10.06.2019 12:00;10.06.2019 13:00;1.359
10.06.2019 13:00;10.06.2019 14:00;0.896
10.06.2019 14:00;10.06.2019 15:00;0.807
10.06.2019 15:00;10.06.2019 16:00;0.826
10.06.2019 16:00;10.06.2019 17:00;0.85
10.06.2019 17:00;10.06.2019 18:00;0.715
10.06.2019 18:00;10.06.2019 19:00;0.785
10.06.2019 19:00;10.06.2019 20:00;1.312
10.06.2019 20:00;10.06.2019 21:00;2.695
10.06.2019 21:00;10.06.2019 22:00;4.904
10.06.2019 22:00;10.06.2019 23:00;6.323
10.06.2019 23:00;11.06.2019 00:00;6.11
11.06.2019 00:00;11.06.2019 01:00;5.367
11.06.2019 01:00;11.06.2019 02:00;5.184
11.06.2019 02:00;11.06.2019 03:00;4.542
11.06.2019 03:00;11.06.2019 04:00;2.19
11.06.2019 04:00;11.06.2019 05:00;1.218
11.06.2019 05:00;11.06.2019 06:00;1.144
11.06.2019 06:00;11.06.2019 07:00;2.254
11.06.2019 07:00;11.06.2019 08:00;1.998
11.06.2019 08:00;11.06.2019 09:00;2.048
11.06.2019 09:00;11.06.2019 10:00;1.908
11.06.2019 10:00;11.06.2019 11:00;2.035
11.06.2019 11:00;11.06.2019 12:00;1.859
11.06.2019 12:00;11.06.2019 13:00;1.17
11.06.2019 13:00;11.06.2019 14:00;1.213
11.06.2019 14:00;11.06.2019 15:00;1.043
11.06.2019 15:00;11.06.2019 16:00;1.01
11.06.2019 16:00;11.06.2019 17:00;1.04
11.06.2019 17:00;11.06.2019 18:00;5.471
11.06.2019 18:00;11.06.2019 19:00;5.99
11.06.2019 19:00;11.06.2019 20:00;3.179
11.06.2019 20:00;11.06.2019 21:00;2.026
11.06.2019 21:00;11.06.2019 22:00;2.292
11.06.2019 22:00;11.06.2019 23:00;4.164
11.06.2019 23:00;12.06.2019 00:00;1.989
12.06.2019 00:00;12.06.2019 01:00;1.829
12.06.2019 01:00;12.06.2019 02:00;1.911
12.06.2019 02:00;12.06.2019 03:00;1.373
12.06.2019 03:00;12.06.2019 04:00;0.851
12.06.2019 04:00;12.06.2019 05:00;0.903
12.06.2019 05:00;12.06.2019 06:00;0.919
12.06.2019 06:00;12.06.2019 07:00;1.827
12.06.2019 07:00;12.06.2019 08:00;2.101
12.06.2019 08:00;12.06.2019 09:00;2.049
12.06.2019 09:00;12.06.2019 10:00;2.149
12.06.2019 10:00;12.06.2019 11:00;2.079
12.06.2019 11:00;12.06.2019 12:00;2.155
12.06.2019 12:00;12.06.2019 13:00;1.471
12.06.2019 13:00;12.06.2019 14:00;1.456
12.06.2019 14:00;12.06.2019 15:00;1.266
12.06.2019 15:00;12.06.2019 16:00;1.198
12.06.2019 16:00;12.06.2019 17:00;1.65
12.06.2019 17:00;12.06.2019 18:00;1.679
12.06.2019 18:00;12.06.2019 19:00;2.605
12.06.2019 19:00;12.06.2019 20:00;2.287
12.06.2019 20:00;12.06.2019 21:00;1.898
12.06.2019 21:00;12.06.2019 22:00;1.899
12.06.2019 22:00;12.06.2019 23:00;1.677
12.06.2019 23:00;13.06.2019 00:00;1.8
13.06.2019 00:00;13.06.2019 01:00;2.123
13.06.2019 01:00;13.06.2019 02:00;2.227
13.06.2019 02:00;13.06.2019 03:00;2.288
13.06.2019 03:00;13.06.2019 04:00;2.273
13.06.2019 04:00;13.06.2019 05:00;2.239
13.06.2019 05:00;13.06.2019 06:00;2.215
13.06.2019 06:00;13.06.2019 07:00;2.489
13.06.2019 07:00;13.06.2019 08:00;3.01
13.06.2019 08:00;13.06.2019 09:00;2.673
13.06.2019 09:00;13.06.2019 10:00;2.575
13.06.2019 10:00;13.06.2019 11:00;2.402
13.06.2019 11:00;13.06.2019 12:00;2.276
13.06.2019 12:00;13.06.2019 13:00;2.382
13.06.2019 13:00;13.06.2019 14:00;1.501
13.06.2019 14:00;13.06.2019 15:00;1.506
13.06.2019 15:00;13.06.2019 16:00;3.887
13.06.2019 16:00;13.06.2019 17:00;1.565
13.06.2019 17:00;13.06.2019 18:00;2.854
13.06.2019 18:00;13.06.2019 19:00;2.468
13.06.2019 19:00;13.06.2019 20:00;1.172
13.06.2019 20:00;13.06.2019 21:00;1.298
13.06.2019 21:00;13.06.2019 22:00;1.379
13.06.2019 22:00;13.06.2019 23:00;1.263
13.06.2019 23:00;14.06.2019 00:00;1.495
14.06.2019 00:00;14.06.2019 01:00;1.848
14.06.2019 01:00;14.06.2019 02:00;1.742
14.06.2019 02:00;14.06.2019 03:00;2.129
14.06.2019 03:00;14.06.2019 04:00;1.731
14.06.2019 04:00;14.06.2019 05:00;1.462
14.06.2019 05:00;14.06.2019 06:00;1.682
14.06.2019 06:00;14.06.2019 07:00;2.468
14.06.2019 07:00;14.06.2019 08:00;2.196
14.06.2019 08:00;14.06.2019 09:00;1.382
14.06.2019 09:00;14.06.2019 10:00;1.364
14.06.2019 10:00;14.06.2019 11:00;1.343
14.06.2019 11:00;14.06.2019 12:00;1.33
14.06.2019 12:00;14.06.2019 13:00;1.226
14.06.2019 13:00;14.06.2019 14:00;1.177
14.06.2019 14:00;14.06.2019 15:00;1.055
14.06.2019 15:00;14.06.2019 16:00;1.305
14.06.2019 16:00;14.06.2019 17:00;1.729
14.06.2019 17:00;14.06.2019 18:00;2.633
14.06.2019 18:00;14.06.2019 19:00;2.222
14.06.2019 19:00;14.06.2019 20:00;2.075
14.06.2019 20:00;14.06.2019 21:00;2.18
14.06.2019 21:00;14.06.2019 22:00;1.804
14.06.2019 22:00;14.06.2019 23:00;1.327
14.06.2019 23:00;15.06.2019 00:00;1.295
15.06.2019 00:00;15.06.2019 01:00;1.374
15.06.2019 01:00;15.06.2019 02:00;0.971
15.06.2019 02:00;15.06.2019 03:00;0.794
15.06.2019 03:00;15.06.2019 04:00;0.933
15.06.2019 04:00;15.06.2019 05:00;1.316
15.06.2019 05:00;15.06.2019 06:00;1.752
15.06.2019 06:00;15.06.2019 07:00;1.201
15.06.2019 07:00;15.06.2019 08:00;1.216
15.06.2019 08:00;15.06.2019 09:00;1.702
15.06.2019 09:00;15.06.2019 10:00;2.126
15.06.2019 10:00;15.06.2019 11:00;2.284
15.06.2019 11:00;15.06.2019 12:00;1.506
15.06.2019 12:00;15.06.2019 13:00;2.268
15.06.2019 13:00;15.06.2019 14:00;2.026
15.06.2019 14:00;15.06.2019 15:00;2.402
15.06.2019 15:00;15.06.2019 16:00;2.071
15.06.2019 16:00;15.06.2019 17:00;3.217
15.06.2019 17:00;15.06.2019 18:00;3.184
15.06.2019 18:00;15.06.2019 19:00;5.273
15.06.2019 19:00;15.06.2019 20:00;6.359
15.06.2019 20:00;15.06.2019 21:00;6.309
15.06.2019 21:00;15.06.2019 22:00;4.056
15.06.2019 22:00;15.06.2019 23:00;2.134
15.06.2019 23:00;16.06.2019 00:00;1.868
16.06.2019 00:00;16.06.2019 01:00;1.608
16.06.2019 01:00;16.06.2019 02:00;1.853
16.06.2019 02:00;16.06.2019 03:00;1.595
16.06.2019 03:00;16.06.2019 04:00;1.046
16.06.2019 04:00;16.06.2019 05:00;0.681
16.06.2019 05:00;16.06.2019 06:00;0.762
16.06.2019 06:00;16.06.2019 07:00;0.859
16.06.2019 07:00;16.06.2019 08:00;1.052
16.06.2019 08:00;16.06.2019 09:00;1.57
16.06.2019 09:00;16.06.2019 10:00;2.286
16.06.2019 10:00;16.06.2019 11:00;2.112
16.06.2019 11:00;16.06.2019 12:00;2.104
16.06.2019 12:00;16.06.2019 13:00;1.701
16.06.2019 13:00;16.06.2019 14:00;1.999
16.06.2019 14:00;16.06.2019 15:00;2.033
16.06.2019 15:00;16.06.2019 16:00;1.936
16.06.2019 16:00;16.06.2019 17:00;1.427
16.06.2019 17:00;16.06.2019 18:00;2.468
16.06.2019 18:00;16.06.2019 19:00;5.708
16.06.2019 19:00;16.06.2019 20:00;3.998
16.06.2019 20:00;16.06.2019 21:00;2.194
16.06.2019 21:00;16.06.2019 22:00;2.028
16.06.2019 22:00;16.06.2019 23:00;1.341
16.06.2019 23:00;17.06.2019 00:00;0.668
17.06.2019 00:00;17.06.2019 01:00;0.96
17.06.2019 01:00;17.06.2019 02:00;0.811
17.06.2019 02:00;17.06.2019 03:00;0.901
17.06.2019 03:00;17.06.2019 04:00;0.796
17.06.2019 04:00;17.06.2019 05:00;0.859
17.06.2019 05:00;17.06.2019 06:00;1.152
17.06.2019 06:00;17.06.2019 07:00;1.963
17.06.2019 07:00;17.06.2019 08:00;1.852
17.06.2019 08:00;17.06.2019 09:00;3.009
17.06.2019 09:00;17.06.2019 10:00;2.851
17.06.2019 10:00;17.06.2019 11:00;2.39
17.06.2019 11:00;17.06.2019 12:00;2.474
17.06.2019 12:00;17.06.2019 13:00;2.018
17.06.2019 13:00;17.06.2019 14:00;2.026
17.06.2019 14:00;17.06.2019 15:00;1.885
17.06.2019 15:00;17.06.2019 16:00;2.038
17.06.2019 16:00;17.06.2019 17:00;1.739
17.06.2019 17:00;17.06.2019 18:00;1.103
17.06.2019 18:00;17.06.2019 19:00;0.925
17.06.2019 19:00;17.06.2019 20:00;0.904
17.06.2019 20:00;17.06.2019 21:00;1.145
17.06.2019 21:00;17.06.2019 22:00;0.88
17.06.2019 22:00;17.06.2019 23:00;1.921
17.06.2019 23:00;18.06.2019 00:00;4.821
